bait,bait_uniprot,prey_gene,prey_uniprot
EXOC8,,GTF2E2,
EXOC8,,IHO1,
EXOC8,,IKZF3,
EXOC8,,ISY1,
EXOC8,,KIAA1217,
EXOC8,,KIFC3,
EXOC8,,KRT19,
EXOC8,,KRT34,
EXOC8,,KRT36,
EXOC8,,KRT76,
EXOC8,,LZTS1,
EXOC8,,MARCHF7,
EXOC8,,MBD3L1,
EXOC8,,MIPOL1,
EXOC8,,MTUS2,
EXOC8,,MYOZ3,
EXOC8,,NAB2,
EXOC8,,NDC80,
EXOC8,,NUP54,
EXOC8,,PBX4,
EXOC8,,PCM1,
EXOC8,,PRR35,
EXOC8,,RUSC1,
EXOC8,,SCARA5,
EXOC8,,SNAPC1,
EXOC8,,STMN3,
EXOC8,,SYCE1,
EXOC8,,SYT17,
EXOC8,,TBC1D22B,
EXOC8,,TCF12,
EXOC8,,TCF4,
EXOC8,,TFIP11,
EXOC8,,TRIM14,
EXOC8,,TRIM21,
EXOC8,,TRIM54,
EXOC8,,UQCC2,
EXOC8,,USHBP1,
EXOC8,,VPS16,
EXOC8,,VPS37B,
EXOC8,,ZC2HC1A,
EXOC8,,ZNF177,
EXOC8,,ZNF35,
EXOC8,,ZNF566,
EXOC8,,ZNF628,
EXOC8,,ZSCAN4,
EXTL3,,ATXN1,
EZH1,,EED,
FAM72D,,GOLGA7,
FAM72D,,NTAQ1,
FAM72D,,ZNF19,
FBXL19,,ABI1,
FBXL19,,ABI2,
FBXL19,,DGAT2L6,
FBXL19,,EFHC2,
FBXL19,,NCK2,
FBXL19,,PSME3,
FBXL19,,RPRM,
FBXL19,,SORBS3,
FBXL19,,TMEM239,
FBXL22,,SKP1,
FGA,,EXOC5,
FGA,,SH3BP1,
FGA,,STX1B,
FGA,,STX2,
FGA,,TFIP11,
FGA,,TMEM43,
FGA,,TPM1,
FGA,,TPM3,
FLYWCH1,,CCDC125,
FLYWCH1,,GMCL1,
FLYWCH1,,GOLGA6L9,
FLYWCH1,,HOOK2,
FLYWCH1,,HSF2BP,
FLYWCH1,,KIFC3,
FLYWCH1,,LHX2,
FLYWCH1,,MTUS2,
FLYWCH1,,PPP1R16B,
FLYWCH1,,TRAF2,
FOXD4L1,,ABI2,
FOXD4L1,,BAG3,
FOXD4L1,,BOLL,
